,Rk,School,G,Overall.W,Overall.L,W-L%,SRS,SOS,Conf.W,Conf.L,Home.W,Home.L,Away.W,Away.L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
43,44,UC Riverside,32,17,15,.531,-3.63,-4.18,7,9,11,5,6,10,2059,1939,1285,692,1712,.404,198,563,.352,357,521,.685,233,968,343,178,85,346,503,64.4,93.7,.304,.329,.495,45.8,49.6,8.6,8.6,.462,15.0,21.2,.209
44,45,UC Santa Barbara,31,21,10,.677,-0.57,-4.06,10,6,13,3,8,7,2195,2054,1245,751,1673,.449,208,597,.348,344,484,.711,247,917,355,141,76,374,590,64.9,101.6,.289,.357,.540,46.4,47.3,7.0,7.0,.511,16.4,24.9,.206
45,46,California,32,14,18,.438,3.20,9.05,7,11,12,5,1,10,2023,2210,1295,748,1741,.430,240,661,.363,474,644,.736,279,1061,387,157,115,368,571,65.7,103.9,.370,.380,.540,50.4,51.7,7.4,9.6,.499,15.2,26.2,.272
46,47,Campbell,31,15,16,.484,-8.51,-8.10,6,12,8,5,6,10,2130,2065,1245,722,1641,.440,170,551,.309,451,642,.702,284,1044,312,200,65,429,463,67.2,98.8,.391,.336,.531,52.4,43.2,9.6,6.5,.492,18.1,28.0,.275
47,48,Canisius,32,12,20,.375,-7.60,-5.44,7,13,7,6,4,12,2196,2265,1280,801,1762,.455,220,633,.348,443,628,.705,309,1117,379,216,90,491,567,70.3,100.7,.356,.359,.550,51.1,47.3,9.6,7.4,.517,19.2,29.4,.251
48,49,Central Arkansas,31,10,21,.323,-11.26,-2.70,9,11,8,4,2,16,2316,2553,1270,892,1989,.448,275,740,.372,494,690,.716,341,1171,479,291,99,432,656,75.9,105.9,.347,.372,.551,49.7,53.7,12.1,9.0,.518,15.7,28.5,.248
49,50,Central Connecticut State,31,4,27,.129,-20.33,-4.63,3,15,4,9,0,16,1959,2396,1240,852,1854,.460,270,734,.368,422,607,.695,355,1220,473,226,131,404,503,70.7,109.3,.327,.396,.559,55.2,55.5,10.3,10.8,.532,15.9,32.8,.228
50,51,Central Florida,30,16,14,.533,5.13,4.13,7,11,10,6,4,7,2067,2037,1210,727,1731,.420,202,637,.317,381,509,.749,324,1068,422,205,77,429,537,68.7,98.0,.294,.368,.516,50.7,58.0,9.9,7.3,.478,17.9,30.5,.220
51,52,Central Michigan,32,14,18,.438,-3.40,-0.26,7,11,12,4,2,14,2506,2454,1285,893,1931,.462,288,761,.378,380,534,.712,308,1209,451,204,109,527,619,75.0,101.8,.277,.394,.562,51.2,50.5,8.5,8.6,.537,19.4,27.7,.197
52,53,Charleston Southern,32,14,18,.438,-13.14,-6.98,7,11,9,6,5,11,2203,2304,1295,849,1846,.460,228,680,.335,378,539,.701,312,1194,452,220,86,420,504,68.6,103.7,.292,.368,.548,53.7,53.2,9.9,8.1,.522,16.7,28.9,.205
53,54,Charlotte,29,16,13,.552,0.46,-1.09,10,8,13,2,3,11,1922,1877,1175,692,1570,.441,200,626,.319,293,433,.677,219,908,347,201,100,398,485,66.6,95.9,.276,.399,.529,50.1,50.1,10.3,10.7,.504,18.3,23.4,.187
54,55,Chattanooga,33,20,13,.606,0.39,-1.90,10,8,10,4,7,8,2410,2261,1325,845,1893,.446,218,693,.315,353,507,.696,266,1087,387,185,103,390,554,68.2,100.0,.268,.366,.530,48.3,45.8,8.2,9.2,.504,15.5,23.6,.186
55,56,Chicago State,29,4,25,.138,-28.20,-2.85,0,14,3,11,1,12,1781,2372,1160,805,1674,.481,264,665,.397,498,673,.740,292,1001,486,243,57,341,544,70.3,116.4,.402,.397,.595,54.1,60.4,11.9,6.1,.560,14.6,31.3,.297
56,57,Cincinnati,30,20,10,.667,12.33,6.73,13,5,13,2,5,6,2182,2014,1240,712,1788,.398,209,621,.337,381,522,.730,324,1024,361,201,117,421,574,68.9,94.3,.292,.347,.495,47.5,50.7,9.4,10.7,.457,17.1,28.8,.213
57,58,The Citadel,30,6,24,.200,-13.82,-1.00,0,18,3,11,3,12,2244,2433,1215,886,1948,.455,286,838,.341,375,534,.702,321,1155,460,230,80,418,520,75.6,105.9,.274,.430,.553,53.1,51.9,10.0,8.3,.528,16.0,29.3,.193
58,59,Clemson,31,16,15,.516,10.26,7.88,9,11,11,6,3,8,2062,1988,1255,698,1697,.411,244,749,.326,348,487,.715,259,1076,360,204,76,418,500,66.6,95.2,.287,.441,.515,50.7,51.6,9.8,8.3,.483,17.8,24.5,.205
59,60,Cleveland State,32,11,21,.344,-11.16,-2.45,7,11,6,8,3,13,2053,2298,1290,774,1800,.430,231,685,.337,519,720,.721,371,1156,425,225,151,457,621,68.9,103.4,.400,.381,.536,50.8,54.9,10.1,11.1,.494,17.6,33.1,.288
60,61,Coastal Carolina,33,16,17,.485,-0.83,-0.31,8,12,9,9,7,7,2573,2518,1320,807,1910,.423,289,849,.340,615,850,.724,342,1127,457,244,101,457,620,74.0,103.2,.445,.445,.544,45.9,56.6,10.0,7.7,.498,16.5,27.8,.322
61,62,Colgate,34,25,9,.735,1.47,-5.63,14,4,15,2,9,7,2588,2315,1365,876,2018,.434,242,780,.310,321,490,.655,320,1199,437,181,97,413,543,68.8,98.6,.243,.387,.514,49.0,49.9,7.7,8.6,.494,15.5,26.1,.159
62,63,College of Charleston,31,17,14,.548,0.53,-0.84,11,7,10,5,6,6,2176,2109,1240,741,1745,.425,216,660,.327,411,554,.742,316,1116,377,155,99,373,531,66.9,101.7,.317,.378,.525,52.6,50.9,7.5,9.6,.487,15.7,29.2,.236
63,64,Colorado State,32,20,12,.625,6.70,3.96,11,7,12,4,5,6,2417,2307,1300,848,1915,.443,279,815,.342,332,458,.725,268,1055,432,201,81,404,613,69.7,101.9,.239,.426,.541,48.0,50.9,8.9,7.4,.516,15.9,23.8,.173
64,65,Colorado,32,21,11,.656,14.91,8.31,10,8,13,3,4,7,2268,2057,1290,758,1830,.414,201,588,.342,340,478,.711,266,1010,352,234,94,422,598,68.2,93.6,.261,.321,.500,46.1,46.4,10.6,8.6,.469,17.0,23.7,.186
65,66,Columbia,30,6,24,.200,-10.19,-2.50,1,13,5,7,0,16,1988,2181,1215,820,1818,.451,236,711,.332,305,452,.675,268,1158,402,169,119,343,445,69.6,103.1,.249,.391,.536,52.9,49.0,8.0,10.4,.516,14.4,25.0,.168
66,67,Connecticut,31,19,12,.613,11.15,5.34,10,8,14,3,3,7,2258,2078,1280,728,1756,.415,173,524,.330,449,608,.738,326,1086,364,215,121,483,596,69.0,94.1,.346,.298,.508,48.1,50.0,9.7,10.1,.464,19.1,29.4,.256
67,68,Coppin State,31,11,20,.355,-14.36,-8.27,7,9,5,5,6,15,2109,2298,1250,815,1952,.418,265,794,.334,403,590,.683,359,1309,473,210,85,458,525,74.4,98.9,.302,.407,.515,52.6,58.0,9.0,8.6,.485,17.0,28.7,.206
68,69,Cornell,27,7,20,.259,-8.37,-1.85,4,10,6,6,1,14,1818,1912,1095,682,1521,.448,210,599,.351,338,473,.715,262,947,373,153,95,340,411,66.2,105.5,.311,.394,.548,52.2,54.7,8.4,10.3,.517,16.3,29.0,.222
69,70,Creighton,31,24,7,.774,17.24,9.61,13,5,17,1,6,5,2428,2162,1245,810,1928,.420,232,738,.314,310,444,.698,350,1147,413,150,100,383,511,70.0,99.3,.230,.383,.505,51.5,51.0,6.9,9.5,.480,15.2,29.6,.161
70,71,Dartmouth,29,12,17,.414,-4.17,-3.20,5,9,6,6,5,10,1894,1872,1170,675,1621,.416,226,700,.323,296,465,.637,216,965,338,173,72,323,449,66.6,96.1,.287,.432,.508,48.7,50.1,8.9,7.6,.486,14.9,20.8,.183
71,72,Davidson,30,16,14,.533,8.85,3.62,10,8,11,1,4,9,2182,2025,1230,718,1660,.433,204,615,.332,385,542,.710,248,976,361,154,85,345,510,65.4,100.7,.327,.370,.528,49.6,50.3,7.7,9.2,.494,15.2,24.8,.232
72,73,Dayton,31,29,2,.935,19.17,3.69,18,0,17,0,9,0,2480,2000,1255,727,1769,.411,194,588,.330,352,547,.644,305,981,343,167,83,400,556,67.9,93.9,.309,.332,.493,47.5,47.2,7.8,7.9,.466,16.5,26.6,.199
73,74,Delaware State,32,6,26,.188,-20.87,-9.54,4,12,3,11,2,13,2350,2655,1290,898,1925,.466,272,781,.348,587,825,.712,341,1274,501,254,107,472,588,76.3,108.0,.429,.406,.573,52.7,55.8,10.3,8.8,.537,16.9,29.7,.305
74,75,Delaware,33,22,11,.667,-1.53,-3.84,11,7,10,3,7,6,2452,2332,1325,822,1924,.427,262,747,.351,426,564,.755,311,1089,412,220,81,386,542,68.6,102.6,.293,.388,.532,49.6,50.1,9.7,7.2,.495,15.0,26.7,.221
75,76,Denver,31,7,24,.226,-10.06,-1.99,3,13,6,8,0,14,2135,2360,1250,799,1787,.447,250,776,.322,512,677,.756,269,1112,388,193,80,395,590,71.6,105.5,.379,.434,.560,51.7,48.6,8.6,6.5,.517,15.8,24.8,.287
76,77,DePaul,32,16,16,.500,7.63,8.95,3,15,11,7,4,9,2262,2274,1290,766,1848,.415,260,773,.336,482,651,.740,348,1179,444,256,116,512,577,71.7,98.3,.352,.418,.527,49.7,58.0,11.1,8.7,.485,19.2,29.8,.261
77,78,Detroit Mercy,31,8,23,.258,-9.87,-1.90,6,12,5,8,2,14,2175,2422,1245,862,1876,.459,267,736,.363,431,596,.723,332,1142,536,197,108,374,557,70.6,110.2,.318,.392,.561,50.5,62.2,9.0,10.4,.531,14.8,30.5,.230
78,79,Drake,34,20,14,.588,0.43,0.61,8,10,14,2,2,10,2359,2302,1365,803,1901,.422,281,765,.367,415,561,.740,257,1087,389,224,90,416,552,68.0,99.1,.295,.402,.531,48.6,48.4,9.6,7.8,.496,16.1,22.3,.218
79,80,Drexel,33,14,19,.424,-5.38,-2.20,6,12,10,5,1,13,2254,2323,1325,860,1911,.450,181,578,.313,422,557,.758,296,1083,388,253,108,368,569,67.9,103.3,.291,.302,.534,48.2,45.1,11.3,9.2,.497,14.5,26.6,.221
80,81,Duke,31,25,6,.806,22.55,8.00,15,5,15,2,7,4,2558,2107,1260,784,1879,.417,150,501,.299,389,580,.671,330,1067,367,225,121,464,588,72.9,91.8,.309,.267,.489,46.2,46.8,9.8,9.0,.457,17.7,28.0,.207
81,82,Duquesne,30,21,9,.700,6.77,1.67,11,7,10,4,6,3,2146,1993,1215,734,1728,.425,192,637,.301,333,505,.659,319,1046,389,189,90,414,531,67.8,96.8,.292,.369,.506,50.2,53.0,9.2,9.2,.480,17.4,30.2,.193
82,83,East Carolina,31,11,20,.355,-2.27,1.82,5,13,9,7,1,11,2111,2238,1250,755,1762,.428,254,753,.337,474,708,.669,289,1080,427,216,98,413,587,70.7,101.3,.402,.427,.533,49.7,56.6,9.8,8.3,.501,16.4,26.6,.269
83,84,East Tennessee State,34,30,4,.882,7.63,-1.82,16,2,16,1,11,3,2593,2146,1360,765,1801,.425,208,692,.301,408,582,.701,291,1053,352,203,100,533,660,68.2,92.6,.323,.384,.516,46.6,46.0,8.8,8.4,.483,20.4,25.8,.227
84,85,Eastern Illinois,32,17,15,.531,-5.08,-7.41,9,9,10,2,5,11,2377,2214,1290,777,1835,.423,213,607,.351,447,610,.733,321,1149,395,192,93,490,551,70.9,96.9,.332,.331,.521,49.6,50.8,8.4,7.1,.481,18.7,28.0,.244
85,86,Eastern Kentucky,33,16,17,.485,-9.17,-4.46,12,6,10,4,5,10,2464,2488,1320,881,1951,.452,218,687,.317,508,694,.732,383,1349,481,230,109,603,576,76.2,99.0,.356,.352,.545,54.8,54.6,9.1,8.7,.507,20.9,33.0,.260
86,87,Eastern Michigan,32,16,16,.500,-3.12,0.95,6,12,11,4,3,12,2078,2050,1280,710,1728,.411,281,819,.343,349,509,.686,337,1148,455,204,82,537,601,68.1,94.1,.295,.474,.520,51.4,64.1,9.4,7.7,.492,21.4,30.4,.202
87,88,Eastern Washington,31,23,8,.742,2.01,-1.81,16,4,13,2,10,6,2509,2259,1250,811,1898,.427,209,614,.340,428,605,.707,311,1144,446,223,99,446,582,74.3,97.2,.319,.323,.517,49.1,55.0,9.6,8.5,.482,16.9,26.6,.226
88,89,Elon,34,13,21,.382,-7.81,-2.03,7,11,8,8,3,12,2337,2438,1365,804,1820,.442,272,753,.361,558,747,.747,273,1190,424,201,100,403,589,67.3,106.2,.410,.414,.561,51.8,52.7,8.8,10.2,.516,15.6,24.8,.307
89,90,Evansville,32,9,23,.281,-7.04,0.61,0,18,5,10,3,10,2149,2368,1310,865,1834,.472,192,541,.355,446,597,.747,270,1152,358,177,80,377,591,67.9,106.5,.326,.295,.559,53.4,41.4,8.0,7.9,.524,15.1,25.7,.243
90,91,Fairfield,32,12,20,.375,-9.65,-4.81,8,12,5,8,6,9,1857,2012,1300,709,1692,.419,218,622,.350,376,526,.715,273,1030,365,195,98,399,583,63.6,97.3,.311,.368,.518,48.4,51.5,9.4,8.3,.483,17.0,26.1,.222
91,92,Fairleigh Dickinson,30,11,19,.367,-9.94,-5.87,9,9,7,5,4,14,2167,2236,1210,801,1782,.449,248,724,.343,386,551,.701,335,1079,451,200,93,384,477,69.3,106.7,.309,.406,.547,51.7,56.3,9.5,8.3,.519,15.8,31.3,.217
92,93,Florida A&M,27,12,15,.444,-12.17,-6.24,10,6,8,0,4,13,1824,1984,1105,699,1515,.461,163,533,.306,423,624,.678,288,999,343,206,100,422,546,70.8,101.5,.412,.352,.548,51.4,49.1,10.5,8.3,.515,18.9,31.7,.279
93,94,Florida Atlantic,32,17,15,.531,-1.66,-1.25,8,10,14,3,2,12,2275,2222,1295,806,1832,.440,236,696,.339,374,533,.702,283,1122,376,209,73,485,526,70.2,97.7,.291,.380,.533,49.0,46.7,9.2,6.5,.504,18.9,25.5,.204
94,95,Florida Gulf Coast,32,10,22,.313,-10.26,-4.30,7,9,6,10,4,12,1979,2122,1295,761,1798,.423,226,668,.338,374,542,.690,323,1130,373,241,98,436,457,66.8,98.1,.301,.372,.516,50.8,49.0,11.1,9.4,.486,17.5,29.3,.208
95,96,Florida International,32,19,13,.594,0.90,-1.00,9,9,11,3,6,9,2455,2319,1285,837,1981,.423,204,709,.288,441,600,.735,416,1244,409,248,94,522,520,73.9,97.7,.303,.358,.512,52.2,48.9,10.4,8.2,.474,18.7,34.4,.223
96,97,Florida State,31,26,5,.839,17.28,7.64,16,4,16,0,7,5,2336,2037,1250,694,1708,.406,218,687,.317,431,588,.733,321,1019,309,165,89,516,530,69.7,93.6,.344,.402,.513,48.1,44.5,7.6,7.5,.470,20.6,30.0,.252
97,98,Florida,31,19,12,.613,14.94,9.10,11,7,11,4,4,7,2228,2047,1250,716,1699,.421,197,605,.326,418,573,.729,290,983,346,170,76,400,557,66.3,98.7,.337,.356,.519,47.6,48.3,8.2,7.0,.479,16.9,27.4,.246
98,99,Fordham,31,9,22,.290,-3.58,-0.45,2,16,6,12,1,8,1816,1913,1255,655,1635,.401,233,770,.303,370,542,.683,279,1150,403,211,82,430,499,65.2,93.5,.331,.471,.505,53.0,61.5,10.3,8.4,.472,18.5,26.2,.226
99,100,Fresno State,30,11,19,.367,2.08,3.39,7,11,7,7,4,10,2075,2068,1225,720,1722,.418,253,707,.358,375,499,.752,277,1025,371,173,70,314,504,65.3,103.4,.290,.411,.528,48.0,51.5,8.7,8.1,.492,13.8,26.1,.218
100,101,Furman,32,25,7,.781,6.79,-1.55,15,3,14,1,10,5,2457,2123,1290,784,1795,.437,229,742,.309,326,455,.716,301,1105,430,201,86,517,510,69.3,95.0,.253,.413,.528,52.2,54.8,9.0,8.6,.501,20.4,28.3,.182
